2026-06-05T02:28:35.479297|api||question|come posso arrivare a gemona del friuli partendo d|172245.47|granite4:3b
2026-06-05T02:50:14.949702|g|None|login|web:modal||
2026-06-05T02:50:50.501849|g|session_1780617482672|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T02:54:23.003567|g|None|login|web:modal||
2026-06-05T02:54:30.172673|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T02:54:32.212200|api||question|come posso arrivare a gemona del friuli partendo d|2033.08|granite4:3b
2026-06-05T02:58:09.627502|g|None|login|web:modal||
2026-06-05T02:58:15.945390|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T02:58:17.884162|api||question|come posso arrivare a gemona del friuli partendo d|1931.91|granite4:3b
2026-06-05T03:09:26.492073|g|None|login|web:modal||
2026-06-05T03:09:37.567216|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T03:09:39.537639|api||question|come posso arrivare a gemona del friuli partendo d|1963.65|granite4:3b
2026-06-05T03:15:17.949825|g|None|login|web:modal||
2026-06-05T03:15:26.052505|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T03:18:59.767181|g|None|login|web:modal||
2026-06-05T03:19:08.185641|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T03:19:10.073760|api||question|come posso arrivare a gemona del friuli partendo d|1882.41|granite4:3b
2026-06-05T03:31:29.486056|g|None|login|web:modal||
2026-06-05T03:31:39.393900|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T03:34:38.311718|api||question|come posso arrivare a gemona del friuli partendo d|178910.78|granite4:3b
2026-06-05T03:57:49.223683|g|None|login|web:modal||
2026-06-05T03:57:58.608931|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T03:59:10.330364|g|None|login|web:modal||
2026-06-05T03:59:20.621578|g|session_1780618927174|question|g||
2026-06-05T04:09:01.833998|g|None|login|web:modal||
2026-06-05T04:09:08.234108|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T04:10:16.214687|g|None|login|web:modal||
2026-06-05T04:10:24.268053|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T04:13:39.563638|api||question|come posso arrivare a gemona del friuli partendo d|195280.35|granite4:3b
2026-06-05T04:25:09.085862|g|None|login|web:modal||
2026-06-05T04:25:15.994060|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
